Grand Prix,Circuit,Country,Track Length,Corners,Race Distance,DRS Zones,Lap Record,Top Speed,Overtaking,Braking,Tyre Wear,Fact 1,Fact 2,Fact 3

Australian GP,Albert Park Circuit,Australia 🇦🇺,5.278 km,14,306.124 km,4,1:19.813,4,4,4,3,Opened in 1996.,Street circuit with permanent sections.,Usually hosts the season opener.
Chinese GP,Shanghai International Circuit,China 🇨🇳,5.451 km,16,305.066 km,2,1:32.238,4,4,4,3,Opened in 2004.,Track resembles the Chinese character 上.,Features one of F1's longest Turn 1 corners.
Japanese GP,Suzuka Circuit,Japan 🇯🇵,5.807 km,18,307.471 km,1,1:30.983,3,2,4,5,Figure-eight layout.,Drivers love the S Curves.,One of the most technical circuits.
Belgian GP,Circuit de Spa-Francorchamps,Belgium 🇧🇪,7.004 km,20,308.052 km,2,1:46.286,5,5,3,3,Home of Eau Rouge.,Longest circuit on the calendar.,Weather changes rapidly.

Bahrain GP,Bahrain International Circuit,Bahrain 🇧🇭,5.412 km,15,308.238 km,3,1:31.447,5,4,4,3,Hosted the first Bahrain GP in 2004.,Known for night racing.,Excellent overtaking opportunities.
Saudi Arabian GP,Jeddah Corniche Circuit,Saudi Arabia 🇸🇦,6.174 km,27,308.450 km,3,1:30.734,5,3,4,2,Fastest street circuit in Formula 1.,Debuted in 2021.,High-speed flowing layout.
Miami GP,Miami International Autodrome,United States 🇺🇸,5.412 km,19,308.326 km,3,1:29.708,4,3,4,3,Introduced in 2022.,Runs around Hard Rock Stadium.,Very long back straight.
Emilia Romagna GP,Autodromo Enzo e Dino Ferrari,Italy 🇮🇹,4.909 km,19,309.049 km,1,1:15.484,4,2,4,4,Commonly called Imola.,Runs anti-clockwise.,Historic Formula 1 venue.

Monaco GP,Circuit de Monaco,Monaco 🇲🇨,3.337 km,19,260.286 km,1,1:12.909,2,1,5,2,Most iconic street circuit.,Very difficult to overtake.,Hosts Formula 1 since 1950.
Spanish GP,Circuit de Barcelona-Catalunya,Spain 🇪🇸,4.657 km,14,307.236 km,2,1:16.330,4,3,4,4,Frequently used for testing.,Balanced circuit.,Tests aerodynamic performance.
Canadian GP,Circuit Gilles Villeneuve,Canada 🇨🇦,4.361 km,14,305.270 km,3,1:13.078,5,5,4,2,Named after Gilles Villeneuve.,Wall of Champions is famous.,Heavy braking zones.
Austrian GP,Red Bull Ring,Austria 🇦🇹,4.318 km,10,306.452 km,3,1:05.619,5,5,4,3,Shortest lap by time.,Located in the Styrian mountains.,Three major braking zones.

British GP,Silverstone Circuit,United Kingdom 🇬🇧,5.891 km,18,306.198 km,2,1:27.097,5,4,4,4,Home of Formula 1.,Famous Maggots-Becketts complex.,Very high-speed circuit.
Hungarian GP,Hungaroring,Hungary 🇭🇺,4.381 km,14,306.630 km,2,1:16.627,3,2,3,5,Known as Monaco without walls.,Twisty layout.,Very demanding in hot weather.
Dutch GP,Circuit Zandvoort,Netherlands 🇳🇱,4.259 km,14,306.587 km,2,1:11.097,4,2,4,4,Features steep banking.,Returned in 2021.,Narrow and technical.
Italian GP,Autodromo Nazionale Monza,Italy 🇮🇹,5.793 km,11,306.720 km,2,1:21.046,5,5,3,2,Known as the Temple of Speed.,Fastest average speeds.,Historic Formula 1 circuit.

Azerbaijan GP,Baku City Circuit,Azerbaijan 🇦🇿,6.003 km,20,306.049 km,2,1:43.009,5,5,4,2,Longest street circuit.,Very long main straight.,Passes through the old city.
Singapore GP,Marina Bay Street Circuit,Singapore 🇸🇬,4.940 km,19,306.143 km,4,1:34.486,3,2,4,5,First Formula 1 night race.,Very humid conditions.,Physically demanding race.
United States GP,Circuit of the Americas,United States 🇺🇸,5.513 km,20,308.405 km,2,1:36.169,5,4,4,3,Inspired by famous corners worldwide.,Large elevation change.,Excellent overtaking.
Mexico City GP,Autódromo Hermanos Rodríguez,Mexico 🇲🇽,4.304 km,17,305.354 km,3,1:17.774,5,4,4,2,Highest altitude circuit.,Engines lose power due to thin air.,Famous stadium section.

São Paulo GP,Autódromo José Carlos Pace,Brazil 🇧🇷,4.309 km,15,305.879 km,2,1:10.540,4,4,4,4,Also known as Interlagos.,Frequent wet races.,Runs anti-clockwise.
Las Vegas GP,Las Vegas Strip Circuit,United States 🇺🇸,6.201 km,17,309.958 km,2,1:35.490,5,5,4,2,Races along the Las Vegas Strip.,Night event.,Very high top speeds.
Qatar GP,Lusail International Circuit,Qatar 🇶🇦,5.419 km,16,308.611 km,1,1:22.384,4,3,4,5,Originally built for MotoGP.,Very smooth surface.,High tyre degradation.
Abu Dhabi GP,Yas Marina Circuit,United Arab Emirates 🇦🇪,5.281 km,16,306.183 km,2,1:26.103,4,3,4,3,Season finale venue.,Runs around Yas Marina.,Unique pit lane exit.
